annotation_id,annotator,created_at,duygu_label,hizmet_label,id,kullanım_label,lead_time,text,updated_at
15.0,1.0,2024-08-05T09:44:43.855376Z,"[{""start"":0,""end"":4,""text"":""orji"",""labels"":[""positive""]}]","[{""start"":0,""end"":4,""text"":""orji"",""labels"":[""Orjinallik""]}]",15.0,,9.14,orji teşekkür,2024-08-05T09:44:43.855376Z
16.0,1.0,2024-08-05T09:45:05.849306Z,"[{""start"":5,""end"":17,""text"":""sağlam paket"",""labels"":[""positive""]},{""start"":17,""end"":29,""text"":"" medya mart "",""labels"":[""positive""]}]","[{""start"":5,""end"":17,""text"":""sağlam paket"",""labels"":[""Teslimat ve Paketleme""]},{""start"":17,""end"":29,""text"":"" medya mart "",""labels"":[""Fiyat""]}]",16.0,,21.743,ürün sağlam paket medya mart satıcı al,2024-08-05T09:45:05.849306Z
18.0,1.0,2024-08-05T09:46:17.971732Z,"[{""start"":23,""end"":28,""text"":""apple"",""labels"":[""positive""]},{""start"":33,""end"":39,""text"":""harika"",""labels"":[""positive""]}]","[{""start"":23,""end"":28,""text"":""apple"",""labels"":[""Orjinallik""]}]",18.0,,68.467,iyi bir kablo kulaklık apple bir harika,2024-08-05T09:46:17.971732Z
19.0,1.0,2024-08-05T09:46:44.881517Z,"[{""start"":0,""end"":14,""text"":""gayet kaliteli"",""labels"":[""positive""]},{""start"":15,""end"":30,""text"":""hızlı kargolama"",""labels"":[""positive""]}]","[{""start"":15,""end"":30,""text"":""hızlı kargolama"",""labels"":[""Teslimat ve Paketleme""]}]",19.0,"[{""start"":0,""end"":14,""text"":""gayet kaliteli"",""labels"":[""Performans""]}]",26.58,gayet kaliteli hızlı kargolama ol,2024-08-05T09:46:44.881517Z
20.0,1.0,2024-08-05T09:46:52.551130Z,"[{""start"":0,""end"":6,""text"":""sağlam"",""labels"":[""positive""]}]","[{""start"":0,""end"":6,""text"":""sağlam"",""labels"":[""Teslimat ve Paketleme""]}]",20.0,,7.43,sağlam gel teşekkür,2024-08-05T09:46:52.551130Z
21.0,1.0,2024-08-05T09:47:03.910342Z,"[{""start"":8,""end"":21,""text"":""sorunsuz ulaş"",""labels"":[""positive""]}]","[{""start"":8,""end"":21,""text"":""sorunsuz ulaş"",""labels"":[""Teslimat ve Paketleme""]}]",21.0,,11.097,ürün el sorunsuz ulaş teşekkür,2024-08-05T09:47:03.910342Z
22.0,1.0,2024-08-05T09:47:36.784371Z,"[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""positive""]}]","[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""Teslimat ve Paketleme""]}]",22.0,,41.783,sorunsuz gel,2024-08-05T09:47:48.497780Z
23.0,1.0,2024-08-05T09:47:57.650150Z,"[{""start"":12,""end"":20,""text"":""basarili"",""labels"":[""positive""]}]",,23.0,,6.821,çok güzeldi basarili,2024-08-05T09:47:57.650150Z
24.0,1.0,2024-08-05T09:48:08.037892Z,"[{""start"":11,""end"":33,""text"":""ses kalitesi on numara"",""labels"":[""positive""]}]",,24.0,"[{""start"":11,""end"":33,""text"":""ses kalitesi on numara"",""labels"":[""Ses kalitesi""]}]",10.126,ürün güzel ses kalitesi on numara,2024-08-05T09:48:08.037892Z
25.0,1.0,2024-08-05T09:48:51.451399Z,"[{""start"":22,""end"":34,""text"":""ses kalitesi"",""labels"":[""positive""]},{""start"":13,""end"":21,""text"":""memnunum"",""labels"":[""positive""]}]",,25.0,"[{""start"":22,""end"":34,""text"":""ses kalitesi"",""labels"":[""Ses kalitesi""]}]",43.157,ay ol kullan memnunum ses kalitesi iyi tavsiye et,2024-08-05T09:48:51.451399Z
26.0,1.0,2024-08-05T09:50:14.201640Z,"[{""start"":0,""end"":5,""text"":""10 10"",""labels"":[""positive""]},{""start"":6,""end"":20,""text"":""apple kalitesi"",""labels"":[""positive""]}]",,26.0,"[{""start"":6,""end"":20,""text"":""apple kalitesi"",""labels"":[""Performans""]}]",82.451,10 10 apple kalitesi,2024-08-05T09:50:14.201640Z
27.0,1.0,2024-08-05T09:50:18.482951Z,"[{""start"":0,""end"":8,""text"":""memnunum"",""labels"":[""positive""]}]",,27.0,,3.978,memnunum,2024-08-05T09:50:18.482951Z
28.0,1.0,2024-08-05T09:50:36.842813Z,"[{""start"":0,""end"":9,""text"":""ürün orji"",""labels"":[""positive""]}]","[{""start"":0,""end"":9,""text"":""ürün orji"",""labels"":[""Orjinallik""]}]",28.0,,18.118,ürün orji,2024-08-05T09:50:36.842813Z
29.0,1.0,2024-08-05T09:50:44.641458Z,"[{""start"":0,""end"":13,""text"":""orijinal ürün"",""labels"":[""positive""]}]","[{""start"":0,""end"":13,""text"":""orijinal ürün"",""labels"":[""Orjinallik""]}]",29.0,,7.501,orijinal ürün teşekkür,2024-08-05T09:50:44.641458Z
30.0,1.0,2024-08-05T09:51:20.181263Z,"[{""start"":5,""end"":17,""text"":""sorunsuz gel"",""labels"":[""positive""]},{""start"":18,""end"":26,""text"":""kaliteli"",""labels"":[""positive""]}]","[{""start"":5,""end"":17,""text"":""sorunsuz gel"",""labels"":[""Teslimat ve Paketleme""]}]",30.0,"[{""start"":18,""end"":26,""text"":""kaliteli"",""labels"":[""Performans""]}]",35.306,ürün sorunsuz gel kaliteli teşekkür et,2024-08-05T09:51:20.181263Z
31.0,1.0,2024-08-05T09:51:24.890053Z,"[{""start"":0,""end"":6,""text"":""güzel "",""labels"":[""positive""]}]",,31.0,,4.451,güzel teşekkür,2024-08-05T09:51:24.890053Z
32.0,1.0,2024-08-05T09:52:08.050859Z,"[{""start"":0,""end"":6,""text"":""hoştur"",""labels"":[""positive""]}]",,32.0,,42.855,hoştur ayol al,2024-08-05T09:52:08.050859Z
33.0,1.0,2024-08-05T09:52:23.870223Z,"[{""start"":0,""end"":10,""text"":""güzel ürün"",""labels"":[""positive""]}]",,33.0,,15.565,güzel ürün,2024-08-05T09:52:23.870223Z
34.0,1.0,2024-08-05T09:52:45.173325Z,"[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""positive""]},{""start"":14,""end"":21,""text"":""harika "",""labels"":[""positive""]}]","[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""Orjinallik""]}]",34.0,,21.033,ürün orijinal harika kesinlikle al benimkini arkadaş kedi yediği çöp ol,2024-08-05T09:52:45.173325Z
35.0,1.0,2024-08-05T09:53:32.130359Z,"[{""start"":0,""end"":7,""text"":""beğendi"",""labels"":[""positive""]},{""start"":8,""end"":26,""text"":""ses kalitesi güzel"",""labels"":[""positive""]}]",,35.0,"[{""start"":8,""end"":26,""text"":""ses kalitesi güzel"",""labels"":[""Ses kalitesi""]}]",46.723,beğendi ses kalitesi güzel,2024-08-05T09:53:32.130359Z
36.0,1.0,2024-08-05T09:53:37.772177Z,"[{""start"":0,""end"":7,""text"":""güzeldi"",""labels"":[""positive""]}]",,36.0,,5.385,güzeldi teşekkür,2024-08-05T09:53:37.772177Z
37.0,1.0,2024-08-05T09:55:07.710927Z,"[{""start"":18,""end"":30,""text"":""ses kalitesi"",""labels"":[""positive""]},{""start"":0,""end"":17,""text"":""mikrofon kalitesi"",""labels"":[""positive""]},{""start"":35,""end"":40,""text"":""apple"",""labels"":[""positive""]}]",,37.0,"[{""start"":18,""end"":30,""text"":""ses kalitesi"",""labels"":[""Ses kalitesi""]},{""start"":0,""end"":17,""text"":""mikrofon kalitesi"",""labels"":[""Mikrofon kalitesi""]},{""start"":35,""end"":40,""text"":""apple"",""labels"":[""Performans""]}]",89.664,mikrofon kalitesi ses kalitesi ses apple ürün ol belli,2024-08-05T09:55:07.710927Z
38.0,1.0,2024-08-05T09:55:14.200048Z,"[{""start"":0,""end"":11,""text"":""hızlı kargo"",""labels"":[""positive""]}]","[{""start"":0,""end"":11,""text"":""hızlı kargo"",""labels"":[""Teslimat ve Paketleme""]}]",38.0,,6.227,hızlı kargo teşekkür,2024-08-05T09:55:14.200048Z
39.0,1.0,2024-08-05T09:55:21.100431Z,"[{""start"":0,""end"":11,""text"":""hızlı kargo"",""labels"":[""positive""]}]","[{""start"":0,""end"":11,""text"":""hızlı kargo"",""labels"":[""Teslimat ve Paketleme""]}]",39.0,,6.631,hızlı kargo kulaklık iş gör,2024-08-05T09:55:21.100431Z
40.0,1.0,2024-08-05T09:55:45.281783Z,"[{""start"":14,""end"":20,""text"":""harika"",""labels"":[""positive""]},{""start"":30,""end"":37,""text"":""ambalaj"",""labels"":[""positive""]},{""start"":38,""end"":51,""text"":""paketleme hız"",""labels"":[""positive""]}]","[{""start"":30,""end"":37,""text"":""ambalaj"",""labels"":[""Teslimat ve Paketleme""]},{""start"":38,""end"":51,""text"":""paketleme hız"",""labels"":[""Teslimat ve Paketleme""]}]",40.0,,23.933,henüz açmadım harika gorunuyo ambalaj paketleme hız mağaza güzel,2024-08-05T09:55:45.281783Z
41.0,1.0,2024-08-05T09:56:39.962282Z,"[{""start"":0,""end"":12,""text"":""kablosuz var"",""labels"":[""positive""]},{""start"":27,""end"":33,""text"":""iphone"",""labels"":[""positive""]}]",,41.0,"[{""start"":0,""end"":12,""text"":""kablosuz var"",""labels"":[""Bağlantı kalitesi""]},{""start"":27,""end"":33,""text"":""iphone"",""labels"":[""Performans""]}]",54.367,kablosuz var garanti ol al iphone kalitesi söyle,2024-08-05T09:56:39.962282Z
42.0,1.0,2024-08-05T09:56:47.331344Z,"[{""start"":0,""end"":6,""text"":""güzel "",""labels"":[""positive""]}]",,42.0,,7.104,güzel kullan sev,2024-08-05T09:56:47.331344Z
43.0,1.0,2024-08-05T09:56:54.135564Z,"[{""start"":0,""end"":10,""text"":""sağlam gel"",""labels"":[""positive""]}]","[{""start"":0,""end"":10,""text"":""sağlam gel"",""labels"":[""Teslimat ve Paketleme""]}]",43.0,,6.562,sağlam gel,2024-08-05T09:56:54.135564Z
44.0,1.0,2024-08-05T09:57:13.154746Z,"[{""start"":0,""end"":18,""text"":""ses kalitesi güzel"",""labels"":[""positive""]},{""start"":19,""end"":37,""text"":""kargo sorunsuz gel"",""labels"":[""positive""]}]","[{""start"":19,""end"":37,""text"":""kargo sorunsuz gel"",""labels"":[""Teslimat ve Paketleme""]}]",44.0,"[{""start"":0,""end"":18,""text"":""ses kalitesi güzel"",""labels"":[""Ses kalitesi""]}]",18.727,ses kalitesi güzel kargo sorunsuz gel,2024-08-05T09:57:13.154746Z
45.0,1.0,2024-08-05T09:57:34.201412Z,"[{""start"":6,""end"":19,""text"":""ürün orijinal"",""labels"":[""positive""]},{""start"":20,""end"":38,""text"":""ses kalitesi süper"",""labels"":[""positive""]}]","[{""start"":6,""end"":19,""text"":""ürün orijinal"",""labels"":[""Orjinallik""]}]",45.0,"[{""start"":20,""end"":38,""text"":""ses kalitesi süper"",""labels"":[""Ses kalitesi""]}]",20.785,bayıl ürün orijinal ses kalitesi süper,2024-08-05T09:57:34.201412Z
46.0,1.0,2024-08-05T09:57:44.470488Z,"[{""start"":0,""end"":15,""text"":""ses gayet güzel"",""labels"":[""positive""]}]",,46.0,"[{""start"":0,""end"":15,""text"":""ses gayet güzel"",""labels"":[""Ses kalitesi""]}]",10.032,ses gayet güzel al de,2024-08-05T09:57:44.470488Z
47.0,1.0,2024-08-05T09:57:59.340160Z,"[{""start"":12,""end"":20,""text"":""kaliteli"",""labels"":[""positive""]}]",,47.0,"[{""start"":12,""end"":20,""text"":""kaliteli"",""labels"":[""Performans""]}]",14.645,ürün sağlam kaliteli bir seçim sun,2024-08-05T09:57:59.340160Z
48.0,1.0,2024-08-05T09:58:10.862808Z,"[{""start"":0,""end"":5,""text"":""beğen"",""labels"":[""positive""]}]",,48.0,,11.301,beğen kullan çok güzel,2024-08-05T09:58:10.862808Z
49.0,1.0,2024-08-05T09:58:57.596902Z,"[{""start"":0,""end"":16,""text"":""hızlı teslimattı"",""labels"":[""positive""]},{""start"":17,""end"":34,""text"":""paketleme güzeldi"",""labels"":[""positive""]},{""start"":55,""end"":70,""text"":""kablo rahatlığı"",""labels"":[""positive""]},{""start"":47,""end"":54,""text"":""airpods"",""labels"":[""positive""]}]","[{""start"":0,""end"":16,""text"":""hızlı teslimattı"",""labels"":[""Teslimat ve Paketleme""]},{""start"":17,""end"":34,""text"":""paketleme güzeldi"",""labels"":[""Teslimat ve Paketleme""]}]",49.0,"[{""start"":55,""end"":70,""text"":""kablo rahatlığı"",""labels"":[""Bağlantı kalitesi""]},{""start"":47,""end"":54,""text"":""airpods"",""labels"":[""Performans""]}]",46.501,hızlı teslimattı paketleme güzeldi teşekkür et airpods kablo rahatlığı bir gerçek maalesef,2024-08-05T09:58:57.596902Z
50.0,1.0,2024-08-05T09:59:04.870422Z,"[{""start"":0,""end"":8,""text"":""başarılı"",""labels"":[""positive""]}]",,50.0,,6.977,başarılı ürün,2024-08-05T09:59:04.870422Z
51.0,1.0,2024-08-05T09:59:11.259244Z,"[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""positive""]}]","[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""Teslimat ve Paketleme""]}]",51.0,,6.104,sorunsuz gel teşekkür,2024-08-05T09:59:11.259244Z
52.0,1.0,2024-08-05T09:59:30.184198Z,"[{""start"":0,""end"":8,""text"":""kaliteli"",""labels"":[""positive""]}]",,52.0,"[{""start"":0,""end"":8,""text"":""kaliteli"",""labels"":[""Performans""]}]",18.674,kaliteli güzel,2024-08-05T09:59:30.184198Z
53.0,1.0,2024-08-05T10:00:00.271661Z,"[{""start"":4,""end"":10,""text"":""harika"",""labels"":[""positive""]}]",,53.0,,29.816,iyi harika kulaklıkkk,2024-08-05T10:00:00.271661Z
54.0,1.0,2024-08-05T10:00:05.070845Z,"[{""start"":0,""end"":12,""text"":""guzellllllll"",""labels"":[""positive""]}]",,54.0,,4.603,guzellllllll,2024-08-05T10:00:05.070845Z
55.0,1.0,2024-08-05T10:00:12.955920Z,"[{""start"":0,""end"":14,""text"":""güzel kulaklık"",""labels"":[""positive""]}]",,55.0,"[{""start"":0,""end"":14,""text"":""güzel kulaklık"",""labels"":[""Performans""]}]",7.688,güzel kulaklık tavsiye et,2024-08-05T10:00:12.955920Z
57.0,1.0,2024-08-05T10:00:36.680094Z,"[{""start"":9,""end"":36,""text"":""ses kalitesi falan mükemmel"",""labels"":[""positive""]},{""start"":37,""end"":51,""text"":""apple kalitesi"",""labels"":[""positive""]}]",,57.0,"[{""start"":9,""end"":36,""text"":""ses kalitesi falan mükemmel"",""labels"":[""Ses kalitesi""]},{""start"":37,""end"":51,""text"":""apple kalitesi"",""labels"":[""Ses kalitesi""]}]",21.063,güzel al ses kalitesi falan mükemmel apple kalitesi,2024-08-05T10:00:36.680094Z
58.0,1.0,2024-08-05T10:01:15.620996Z,"[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""positive""]},{""start"":14,""end"":30,""text"":""ses kalitesi iyi"",""labels"":[""positive""]}]","[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""Orjinallik""]}]",58.0,"[{""start"":14,""end"":30,""text"":""ses kalitesi iyi"",""labels"":[""Ses kalitesi""]}]",38.721,ürün orijinal ses kalitesi iyi memnun kal,2024-08-05T10:01:15.620996Z
59.0,1.0,2024-08-05T10:01:30.539438Z,"[{""start"":0,""end"":5,""text"":""güzel"",""labels"":[""positive""]}]",,59.0,,14.688,güzel,2024-08-05T10:01:30.539438Z
60.0,1.0,2024-08-05T10:03:06.441220Z,"[{""start"":0,""end"":9,""text"":""orji ürün"",""labels"":[""positive""]}]","[{""start"":0,""end"":9,""text"":""orji ürün"",""labels"":[""Orjinallik""]}]",60.0,,95.691,orji ürün,2024-08-05T10:03:06.441220Z
61.0,1.0,2024-08-05T10:03:13.099197Z,"[{""start"":0,""end"":5,""text"":""süper"",""labels"":[""positive""]}]",,61.0,,6.451,süper beğendi,2024-08-05T10:03:13.099197Z
62.0,1.0,2024-08-05T10:03:26.879998Z,"[{""start"":0,""end"":11,""text"":""gayet güzel"",""labels"":[""positive""]},{""start"":12,""end"":20,""text"":""orijinal"",""labels"":[""positive""]}]","[{""start"":12,""end"":20,""text"":""orijinal"",""labels"":[""Orjinallik""]}]",62.0,,13.612,gayet güzel orijinal sorunsuz kullan,2024-08-05T10:03:26.879998Z
63.0,1.0,2024-08-05T10:03:39.834923Z,"[{""start"":0,""end"":18,""text"":""güzel ses kalitesi"",""labels"":[""positive""]}]",,63.0,"[{""start"":0,""end"":18,""text"":""güzel ses kalitesi"",""labels"":[""Ses kalitesi""]}]",6.904,güzel ses kalitesi mükemmel,2024-08-05T10:03:39.834923Z
64.0,1.0,2024-08-05T10:03:42.209364Z,"[{""start"":0,""end"":15,""text"":""kullanışlı ürün"",""labels"":[""positive""]}]",,64.0,,8.801,kullanışlı ürün,2024-08-05T10:03:57.694671Z
65.0,1.0,2024-08-05T10:03:48.460818Z,"[{""start"":0,""end"":5,""text"":""güzel"",""labels"":[""positive""]}]",,65.0,,6.074,güzel bir ürün,2024-08-05T10:03:48.460818Z
67.0,1.0,2024-08-05T10:04:18.141318Z,"[{""start"":13,""end"":25,""text"":"" kargo hızlı"",""labels"":[""positive""]},{""start"":0,""end"":13,""text"":""ürün kaliteli"",""labels"":[""positive""]}]","[{""start"":13,""end"":25,""text"":"" kargo hızlı"",""labels"":[""Teslimat ve Paketleme""]}]",67.0,,13.378,ürün kaliteli kargo hızlı,2024-08-05T10:04:18.141318Z
68.0,1.0,2024-08-05T10:04:43.429152Z,"[{""start"":0,""end"":7,""text"":""ses iyi"",""labels"":[""positive""]}]",,68.0,"[{""start"":0,""end"":7,""text"":""ses iyi"",""labels"":[""Ses kalitesi""]}]",25.089,ses iyi,2024-08-05T10:04:43.429152Z
69.0,1.0,2024-08-05T10:04:50.719221Z,"[{""start"":6,""end"":14,""text"":""hasarsız"",""labels"":[""positive""]}]","[{""start"":6,""end"":14,""text"":""hasarsız"",""labels"":[""Teslimat ve Paketleme""]}]",69.0,,7.102,bayıl hasarsız el ulaş,2024-08-05T10:04:50.719221Z
70.0,1.0,2024-08-05T10:04:56.521334Z,"[{""start"":0,""end"":14,""text"":""güzel kaliteli"",""labels"":[""positive""]}]",,70.0,,5.628,güzel kaliteli beğen,2024-08-05T10:04:56.521334Z
71.0,1.0,2024-08-05T10:05:04.591180Z,"[{""start"":0,""end"":7,""text"":""ses iyi"",""labels"":[""positive""]}]",,71.0,"[{""start"":0,""end"":7,""text"":""ses iyi"",""labels"":[""Ses kalitesi""]}]",7.883,ses iyi git beğendi gayet,2024-08-05T10:05:04.591180Z
72.0,1.0,2024-08-05T10:05:16.770373Z,"[{""start"":0,""end"":6,""text"":""kalite"",""labels"":[""positive""]}]",,72.0,"[{""start"":0,""end"":6,""text"":""kalite"",""labels"":[""Performans""]}]",11.98,kalite akio kaliteee,2024-08-05T10:05:16.770373Z
73.0,1.0,2024-08-05T10:05:24.974476Z,"[{""start"":0,""end"":12,""text"":""başarılı ses"",""labels"":[""positive""]}]",,73.0,"[{""start"":0,""end"":12,""text"":""başarılı ses"",""labels"":[""Ses kalitesi""]}]",8.021,başarılı ses kalitesi gayet iyi,2024-08-05T10:05:24.974476Z
74.0,1.0,2024-08-05T10:06:31.880190Z,"[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""positive""]},{""start"":22,""end"":37,""text"":""gayet iyi paket"",""labels"":[""positive""]}]","[{""start"":0,""end"":13,""text"":""ürün orijinal"",""labels"":[""Orjinallik""]},{""start"":22,""end"":37,""text"":""gayet iyi paket"",""labels"":[""Teslimat ve Paketleme""]}]",74.0,,66.719,ürün orijinal beğendi gayet iyi paket,2024-08-05T10:06:31.880190Z
75.0,1.0,2024-08-05T10:06:44.631765Z,"[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""positive""]}]",,75.0,"[{""start"":0,""end"":8,""text"":""sorunsuz"",""labels"":[""Performans""]}]",12.533,sorunsuz kullan,2024-08-05T10:06:44.631765Z
77.0,1.0,2024-08-05T10:07:01.053989Z,"[{""start"":0,""end"":8,""text"":""orijinal"",""labels"":[""positive""]}]","[{""start"":0,""end"":8,""text"":""orijinal"",""labels"":[""Orjinallik""]}]",77.0,,12.914,orijinal güzel,2024-08-05T10:07:01.053989Z
78.0,1.0,2024-08-05T10:07:14.596129Z,"[{""start"":3,""end"":14,""text"":""uzun ömürlü"",""labels"":[""positive""]}]",,78.0,"[{""start"":3,""end"":14,""text"":""uzun ömürlü"",""labels"":[""Pil Ömrü""]}]",13.374,um uzun ömürlü ol,2024-08-05T10:07:14.596129Z
79.0,1.0,2024-08-05T10:07:33.496353Z,"[{""start"":0,""end"":4,""text"":""orji"",""labels"":[""positive""]},{""start"":5,""end"":23,""text"":""gayet kaliteli ses"",""labels"":[""positive""]}]","[{""start"":0,""end"":4,""text"":""orji"",""labels"":[""Orjinallik""]}]",79.0,"[{""start"":5,""end"":23,""text"":""gayet kaliteli ses"",""labels"":[""Ses kalitesi""]}]",18.707,orji gayet kaliteli ses gayet gayet iyi,2024-08-05T10:07:33.496353Z
82.0,1.0,2024-08-05T10:07:53.420972Z,"[{""start"":0,""end"":17,""text"":""orijinal kulaklık"",""labels"":[""positive""]},{""start"":18,""end"":28,""text"":""ses te iyi"",""labels"":[""positive""]}]","[{""start"":0,""end"":17,""text"":""orijinal kulaklık"",""labels"":[""Orjinallik""]}]",82.0,"[{""start"":18,""end"":28,""text"":""ses te iyi"",""labels"":[""Ses kalitesi""]}]",13.551,orijinal kulaklık ses te iyi,2024-08-05T10:07:53.420972Z
83.0,1.0,2024-08-05T10:08:09.891809Z,"[{""start"":0,""end"":18,""text"":""ses kalitesi güzel"",""labels"":[""positive""]},{""start"":19,""end"":27,""text"":""orijinal"",""labels"":[""positive""]},{""start"":28,""end"":35,""text"":""teknosa"",""labels"":[""positive""]}]","[{""start"":19,""end"":27,""text"":""orijinal"",""labels"":[""Orjinallik""]},{""start"":28,""end"":35,""text"":""teknosa"",""labels"":[""Satıcı""]}]",83.0,"[{""start"":0,""end"":18,""text"":""ses kalitesi güzel"",""labels"":[""Ses kalitesi""]}]",16.273,ses kalitesi güzel orijinal teknosa al,2024-08-05T10:08:09.891809Z
86.0,1.0,2024-08-05T10:29:56.369093Z,"[{""start"":0,""end"":20,""text"":""ürün paketlemesi iyi"",""labels"":[""positive""]}]","[{""start"":0,""end"":20,""text"":""ürün paketlemesi iyi"",""labels"":[""Teslimat ve Paketleme""]}]",86.0,,7.204,ürün paketlemesi iyi,2024-08-05T10:29:56.369093Z
